key,group,short_name,title,year,status,reasoning_topology,embodiment,byzantine_model,fault_bound,aggregation_mechanism,graph_condition,actuation_gate,message_format,bandwidth_accounted,contested_channel,determinism_evaluated,evaluation_setup,key_claim,does_not_do,A1,A2,A3,A4,A5,A6,A7,A8,A9
TVT,Own prior work,LLM-Enhanced Resilient UAV Swarm (dual MASS),"LLM-Enhanced Resilient UAV Swarm Operations in Low-Altitude Wireless Networks (IEEE TVT, submitted 2026)",2026,[1] own,Single supervisory LLM at swarm level consuming telemetry; not one LLM per vehicle; no multi-LLM debate.,"UAV/vehicle sim with dynamics+communication model (Swarm Squad platform, 3D voxel-grid environment, EW scenarios).","none — no adversary modeled at reasoning layer; LLM assumed non-malicious, may be delayed/unavailable but not deceptive/adversarial.",none stated,Severity-dependent override/blending between single LLM output and deterministic baseline controller; not peer-to-peer aggregation.,"not analyzed — time-varying directed comm graph G(t) defined, but no robustness (e.g., r-robust) condition analyzed.",yes — severity-dependent override rule fuses LLM escape guidance with default controller; deterministic tangent-based fallback used when LLM unavailable/delayed.,"structured/compact schema: swarm telemetry state summaries in, structured escape guidance out via MCP-inspired typed interface.",no — no token/bit or communication-cost metric reported for LLM queries.,yes — dominant-LoS distance-based link degradation plus multiplicative jamming-zone degradation factor (Dfinal) modeled explicitly.,no — no repeatability/consistency-across-seeds analysis of LLM outputs reported in text.,"Six 3D planners (A*, Theta*, Dijkstra, BFS, GBFS, Bidirectional A*) compared across 30 randomized EW/jamming scenarios per algorithm in Swarm Squad sim.",A* with LLM assistance reduces mission completion time by 10.5% and path length by 11.6% while maintaining high communication quality.,"The paper uses one centralized supervisory LLM, not one LLM per physical vehicle, so it has no receiver-side cross-agent Byzantine filtering, quorum voting, or collusion-resistant aggregation among multiple LLM instances. It also does not model an adversarial or hallucinating LLM, define a fault bound, or evaluate output determinism/repeatability, though it does gate LLM output through a severity-dependent override against a deterministic fallback controller.",0,2,0,0,0,2,1,2,0
SURVEY,Own prior work,LLM-MAS ITS Comm-Attack Survey,LLM-Assisted Multi-Agent Transportation Systems Under Communication Attacks: A Survey (2026),2026,[2] own,"varies by architecture surveyed: centralized single coordinator, decentralized one-LLM-per-vehicle, hierarchical multi-tier, or shared-memory pool — paper compares these as taxonomy, not a proposed single system","none built; discusses UAV/CAV/truck-platoon deployments and cites frameworks (SMART-LLM, COHERENT, AgentsCoDriver, LLM2Swarm) that use simulated robots/vehicles","discusses prompt-tampering insider, compromised/malicious planner messages, shared-memory poisoning, and Sybil/phantom identities; treated qualitatively as attack classes, not formalized as a solved adversary model",none stated,"surveys Byzantine consensus, robust aggregation, and trust-aware aggregation as a defense category (Sec IV-B) but does not implement or specify a concrete mechanism itself","not analyzed quantitatively; qualitatively contrasts complete-mesh (decentralized), star (centralized), tree (hierarchical), and pooled topologies for resilience trade-offs (Table II)",discusses fail-safe triggers and a deployment playbook conceptually (Sec VI) but does not specify or evaluate a deterministic safety-envelope/schema gate on LLM output,"not specified as one format; discusses natural-language planner messages, V2X packets (BSM/CAM), and shared-memory entries as distinct attack surfaces","no; reports qualitative communication-overhead order (O(N), O(N^2), O(N log N)) per architecture in Table II, not measured tokens/bits","yes (jamming: broadband/narrowband/sweep/adaptive; GNSS spoofing; MITM/replay; DoS/routing manipulation) — modeled taxonomically, not simulated",no,"survey/taxonomy paper: no original experiments; proposes a benchmark protocol, worked ResilienceScore example, reporting checklist, and roadmap but does not execute an evaluation itself","LLM-mediated coordination adds a first-class Layer-3 semantic/reasoning attack surface (prompt tampering, shared-memory poisoning, CORBA) that is invisible to classical Layer-1/2 vehicular defenses and requires unified cross-layer treatment.","This paper is a taxonomy/survey with no implemented system, so it does not build or test a one-LLM-per-vehicle architecture, specify a receiver-side Byzantine filter or quorum rule, or define a fault bound (e.g., f<n/3). It never runs a real or simulated control loop under jamming, so no actuation-gating mechanism, bandwidth cost, or output-determinism is measured — those are named as future work/roadmap items, not delivered.",1,0,1,1,1,1,1,1,0
2410.16237v2,Byzantine-resilient LLM-MAS,IBGP,IBGP: Imperfect Byzantine Generals Problem for Zero-Shot Robustness in Communicative Multi-Agent Systems,2024-10-21,NEW — found by gap search,"no LLM in the theoretical protocol/theorem; in MARL experiments one policy network per agent (Q-learning agents), with a later note that in the LLM/AGI context the protocol can be given to agents via prompt instructions rather than a single centralized supervisor","simulated multi-agent RL environments (predator-prey, Hallway, StarCraft II SMAC scenarios) plus a simulated 1-D sensor network; no hardware, no real vehicle dynamics","attacker agents with unknown identity that corrupt communication channels (not actions) and can send arbitrary/adversarially-trained messages to disrupt consensus; framed as arising from LLM hallucination or external attack, identities unknown to benign agents","IBGP protocol tolerant up to t<50% malicious agents (vs classic BGP's ~33% bound, per Figure 1); (k,t)-protocol sets λ=t explicitly","threshold counting/voting over multiple broadcast rounds: agent stays active if count of received '1' messages ≥ k+λ (or ≥k in final round), with a randomized unknown-round-count to prevent attacker prediction; no debate or weighting",complete communication network assumed (all agents can broadcast to all others); sensor network case study uses local neighborhoods but graph robustness not formally analyzed,"none stated as a separate deterministic safety envelope; the consensus protocol's final decision (a_i) is the action itself, computed deterministically from the threshold rule but not checked against an independent safety schema","single bit per round (M ∈ {0,1}), not natural-language transcripts; described as 'basic pairwise bit communication'","no explicit token/bit-cost metric, though paper notes protocol communication is 'simple' and multi-round cost is 'affordable'; no measured numbers given","no jamming/link-degradation/partition model; only message-content corruption by attacker-controlled channels within a complete, always-connected network is modeled","no — evaluation reports robustness percentage (performance ratio under attack vs. no attack) with standard deviations across runs, not repeatability/consistency of outputs across seeds","MARL benchmarks (Predator-prey variants, Hallway, SMAC 4bane_vs_1hM and 3z_vs_1r) comparing IBGP protocol vs recursive training, AME, ADMAC baselines on zero-shot robustness percentage; plus a sensor-network case study simulation","A multi-round randomized-threshold consensus protocol (the (k,t)-protocol) provably prevents mis-coordination in IBGP under any communication attack with t<50% malicious agents, and empirically gives near-100% zero-shot robustness in MARL tasks versus degraded baselines","The paper's adversary model is purely message-content corruption on a complete, always-connected graph with 1-bit signals—it never models jamming, link degradation, partitions, or sparse/r-robust topologies, and has no vehicle dynamics or real control loop. It also has no deterministic actuation-gating layer separate from the vote itself, no per-agent LLM reasoning under attack (agents are RL policies, not LLMs, in experiments), and reports no token/bandwidth cost or output-determinism metrics.",0,0,1,1,0,0,1,0,0
2505.05103v1,Byzantine-resilient LLM-MAS,WBFT Trusted MultiLLMN,A Weighted Byzantine Fault Tolerance Consensus Driven Trusted Multiple Large Language Models Network,2025-05-08,NEW — found by gap search,"Multiple LLMs (n total, with K Core Cluster Nodes as consensus participants) collaboratively voting; one LLM acts as leader per query, others as followers, no physical embodiment described",text-only benchmark (simulation of consensus mechanism and LLM response quality; no robots/vehicles/hardware),"malicious/compromised LLMs or devices that produce dishonest responses or false votes; arbitrary Byzantine behavior assumed at node level, identities not fixed (trust recalibrated each round)","2/3 weighted majority required for consensus (i.e., malicious weight must be <1/3), no explicit f<n/3 node-count bound stated","weighted voting combining response-quality weight (A) and trust weight (B) per LLM, threshold signature aggregation of votes; leader tallies weighted votes, not majority count or MSR trimming","P2P blockchain network with dynamic clustering (Hierarchical Secure Clustering into Core/Edge nodes); not analyzed in terms of formal graph robustness (e.g., r-robustness)","none — no physical actuators; output is a block-committed text response returned to the UE, not gated against a deterministic safety envelope","encrypted query+response payloads (Q‖RL) with vote values and generated text (RF); free-form NL response content wrapped in typed protocol messages (votes, proofs, confirmations)","no explicit tokens/bits-per-round metric; efficiency measured via throughput and latency at protocol level, not LLM-content bandwidth","yes(wireless channel transmission failure rate Pl and latency modeled via link-layer equations, not active jamming attack scenario)",not modeled — no repeatability/consistency-across-seeds evaluation of LLM outputs is described in the text,"extensive simulations comparing WBFT vs. classical/modern consensus (e.g., PBFT, HotStuff) on security/efficiency metrics under wireless conditions, and comparing Trusted MultiLLMN response quality vs single LLM and conventional MultiLLMN","WBFT improves consensus security and efficiency over classical/modern BFT consensus under wireless conditions, and Trusted MultiLLMN delivers higher-quality, more credible responses than single LLMs or unweighted MultiLLMNs","The paper addresses text-response consensus among LLMs, not real-time control-loop actuation; it has no deterministic safety-envelope gating, no per-vehicle embodiment, and no active jamming/adversarial channel attack model beyond generic wireless transmission-failure probability. It also lacks bandwidth/token accounting and any determinism/repeatability evaluation of LLM outputs across trials.",0,0,2,2,0,0,1,1,0
2507.14928v1,Byzantine-resilient LLM-MAS,DecentLLMs,Byzantine-Robust Decentralized Coordination of LLM Agents,2025-07-20,NEW — found by gap search,"Two disjoint LLM groups: multiple worker LLM agents generate answers in parallel (no inter-worker communication), and multiple evaluator LLM agents independently score all worker answers, aggregated via geometric median — no leader, no embodiment/vehicles.",text-only benchmark (MMLU-Pro question answering),"Arbitrary adversarial agents at both worker and evaluator roles (poor-quality/advertisement-laced answers, biased full/zero scoring, non-response, fork attacks/conflicting broadcasts, collusion between Byzantine workers and evaluators); identities not known a priori but roles (worker/evaluator) are fixed and authenticated via public-private keys.","fw < floor((Nw-1)/2) for workers, fe < floor((Ne-1)/2) for evaluators (honest majority in each group); geometric median tolerates f <= floor((n-1)/2)","Geometric Median (GM, via Weiszfeld's algorithm) over evaluator score vectors per worker answer; highest-quality answer selected by highest robust score, ties broken by hash comparison with latest block hash","complete graph / all-to-all broadcast among evaluators (and workers-to-evaluators), via Byzantine reliable broadcast over a synchronous network with bounded, predetermined max delay — not analyzed in terms of sparse or r-robust topologies","none — no physical actuators; final answer is returned to the user and recorded on-chain, with no deterministic safety-envelope check on LLM output before use","structured JSON output with numeric scores per criterion (5 criteria, 0-20 scale) plus free-form natural-language worker answers",no — paper reports consensus latency (seconds) but does not measure tokens or bits per round/message,"no — synchronous network with bounded but reliable delay assumed; no jamming, link degradation, or partition modeled",no — no measurement of output repeatability/consistency across seeds or runs; LLM non-determinism is mentioned only as a future-work concern for blockchain oracle use,"Up to 9 worker agents (Qwen3 0.6B-14B, Gemma3 1B-27B) and up to 9 evaluator agents (Claude Sonnet 4/3.7, Gemini 2.5 Pro, GPT-4o/o3/o4-mini, Qwen3-235B/32B) on 100 random MMLU-Pro prompts; Byzantine workers simulated by inserting ads/altering numbers, Byzantine evaluators simulated by assigning full/zero scores; compared against 2/3-quorum and majority-quorum leader-based baselines for accuracy, and against fixed/rotating leader-driven protocols for latency vs. number of Byzantine agents (0-3, and up to 7 evaluators in one ablation).","Leaderless parallel-answer-generation-plus-Byzantine-robust-evaluator-scoring (via geometric median) achieves higher accuracy (71 vs 64/50 correct) and near-constant consensus latency (~221s) regardless of Byzantine leader count, versus leader-based quorum protocols whose latency grows linearly with consecutive Byzantine leaders.","The paper contains no vehicles, control loop, dynamics, or actuation of any kind — 'workers' and 'evaluators' are undifferentiated LLM instances producing text answers to benchmark questions, not one-LLM-per-vehicle agents filtering sensor/peer messages. It models no communication-channel adversary (no jamming, link degradation, or partition — the network is assumed synchronous and reliable), no deterministic override/safety-gate on outputs before use, no bandwidth/token cost accounting, and no evaluation of output determinism/repeatability across runs, so none of the receiver-side Byzantine filtering, quorum-under-jamming, or gated-actuation requirements of a real control loop are addressed.",0,0,2,2,0,0,1,0,0
2511.10400v2,Byzantine-resilient LLM-MAS,CP-WBFT (Byzantine BFT for LLM-MAS),Rethinking the Reliability of Multi-agent System: A Perspective from Byzantine Fault Tolerance,2025-11-13,[5] cited,"N LLM-based agents (7 nodes) arranged in various communication topologies, each an independent LLM instance acting as a network node; no physical embodiment or supervisor hierarchy","text-only benchmark (GSM8K math reasoning, XSTest safety assessment, CommonsenseQA in appendix); no simulated robots or hardware","weak/strong LLM pairs simulate 'malicious' vs honest nodes (e.g., GPT-3.5-turbo vs GPT-4o-mini, LLaMA3 vs LLaMA3.1); faults are capability-gap-induced wrong answers, not adversarial/arbitrary or colluding attackers; identities assumed known/fixed per experiment",paper explicitly states f<n/3 as the classical bound it exceeds; tests up to f=6 of n=7 (85.7%) but does not derive or prove a new tolerance bound for CP-WBFT,"confidence-weighted consensus: agents adopt higher-confidence neighbor answers (local refinement), then select answer with highest average confidence (supporter count as tie-breaker) via prompt-level or hidden-layer confidence probes","six fixed topologies tested (chain, star, tree, random graph, complete graph, layered graph) with 7 nodes; no robustness metric like r-robustness computed, no formal graph-connectivity condition proven","none; there are no actuators—output is a consensus text answer to a QA task, not gated against any deterministic safety envelope","free-form NL transcript with structured tag: 'Answer: [number], Confidence: [0.00-1.00]' for PCP; hidden-layer vector features (pooled, PCA-reduced to 256 dims) for HCP, not transmitted as messages but used internally",no; no token/bit-per-round or communication-cost metric reported,"no; no jamming, link degradation, or network partition modeled—only node-level Byzantine faults (wrong answers) are simulated",no explicit seed-repeatability study; paper notes 'stochastic nature of API-based inference' causes IAA variability but does not systematically measure output consistency across seeds,"7-node networks, 6 Byzantine agents (85.7% fault rate), 10 curated problems per topology per task (GSM8K, XSTest); metrics IAA/FAA/RA/BFTI; strong-weak LLM pairs (GPT-4o-mini/GPT-3.5-turbo for PCP, LLaMA3.1/LLaMA3 for HCP)","LLM-based agents exhibit intrinsic skepticism giving greater Byzantine reliability than traditional agents, and CP-WBFT's confidence-probe weighting (esp. hidden-level HCP) achieves up to 100% round-level accuracy even at 85.7% fault rate, exceeding classical f<n/3 bound","The paper never models jamming, link degradation, or network partitions, has no receiver-side Byzantine-filtering quorum protocol with a proven robustness bound, and includes zero actuators or deterministic safety-envelope gating—faults are capability-gap wrong text answers, not adversarial senders on a real-time control loop. It also never measures per-round communication cost/bandwidth or output determinism across seeds, so it gives no basis for one-LLM-per-vehicle deployment under contested comms.",0,0,1,2,0,0,1,0,0
2603.01213v2,Byzantine-resilient LLM-MAS,Can AI Agents Agree?,Can AI Agents Agree?,2026-03-01,NEW — found by gap search,"N LLMs debating with no embodiment (one LLM per agent, all-to-all broadcast, no physical/vehicle mapping)","text-only benchmark (scalar proposal exchange simulation, A2A-Sim)","arbitrary adversarial at the reasoning layer (Byzantine agents can propose arbitrary values/justifications and adapt to history, but cannot equivocate, forge identities, or drop/suppress messages); identities of Byzantine agents are unknown to honest agents","f in [0,1/3] of agents Byzantine (B=f*N), with termination requiring >=2/3 stop votes","none stated as an explicit mechanism — agents converge via LLM-driven proposal updates and a 2/3 supermajority stop-vote; no MSR trimming, confidence weighting, or formal aggregation rule is used",complete graph (synchronous all-to-all network),"none (no actuators; final scalar value is only checked post hoc for validity against the set of initial honest proposals, not gated before use)","free-form NL transcript (JSON-formatted scalar proposal + free-text justification + vote, summarized as compact textual history for context-window reasons)","no (paper measures rounds-to-consensus and outcome rates, not tokens/bits per round or communication cost)","no (network is reliable synchronous all-to-all; no jamming, link degradation, or partition is modeled — Byzantine agents affect content, not the channel)","no (no seed-repeatability/output-consistency analysis; variability is captured only via 25-run outcome-rate statistics with Wilson confidence intervals, not per-seed determinism checks)","Qwen3-8B/14B LLM agents, N in {4,8,16} honest agents (plus B in {1,2,3,4} Byzantine for the 8-honest-agent robustness study), 25 runs per configuration, Tmax=50 rounds, vLLM inference, outcomes classified as valid/invalid/no consensus","Valid consensus is unreliable even with zero Byzantine agents (41.6% overall) and degrades further with group size and with even a single Byzantine agent; failures are dominated by liveness loss (timeouts/stalled convergence) rather than value corruption, indicating LLM-agent groups are not yet dependable at reaching agreement even in a no-stake, restricted-threat setting.","The paper studies abstract scalar-value agreement among purely textual LLM agents with no physical embodiment, control loop, or actuators, so it says nothing about per-vehicle LLM instantiation, sensor/actuation gating, or deterministic safety-envelope checks on outputs before they affect a real system. Its threat model and network are both benign in ways a real deployment would not be: Byzantine agents cannot equivocate, spoof identity, or drop messages, and the communication graph is a reliable complete graph with no jamming, link degradation, or partitions modeled, so it provides no evidence on receiver-side Byzantine filtering or quorum behavior under a contested/degraded channel.",0,0,2,0,0,0,1,0,0
2605.08268v1,Byzantine-resilient LLM-MAS,Insider Attacks in Multi-Agent LLM Consensus Systems,Insider Attacks in Multi-Agent LLM Consensus Systems,2026-05-08,NEW — found by gap search,"N LLM agents (GPT-4o powered) exchanging natural-language messages over multiple rounds, one LLM per agent, no physical embodiment; roles are benign vs. malicious insider(s) embedded among them (no centralized supervisor)","text-only benchmark (discrete 1-D consensus environment, positions 0-20, no robots/vehicles/hardware)","a single malicious insider agent (or coordinating malicious agents) participating through the same interface as benign agents, pursuing a hidden adversarial goal while behaviorally plausible; identity is known to the system (agent is a designated 'malicious agent' in the model) though in the 'guessed' variant the attacker itself must infer benign agents' behavioral types — the paper does not model an adversary of unknown identity from the benign agents' side, i.e., no receiver-side detection/attribution is addressed",none stated (no explicit tolerance bound like f<n/3 or robustness order; experiments use exactly one malicious agent among three benign agents),"none specified as a defense/aggregation rule — consensus is defined via a disagreement functional (max pairwise discrepancy) that must reach zero; benign agents update positions individually via their own LLM policy conditioned on neighbor messages, with no described voting, trimming, or confidence-weighting scheme","not analyzed — agents have a visible neighborhood N_i, but no r-robustness, connectivity threshold, or graph-topology analysis is provided; experiments use a small fixed set of agents (3 benign + 1 malicious)","none — LLM output (message + integer position) is used directly as the agent's next state; there is no deterministic safety envelope, schema check, or override gate before the position update is applied",free-form NL transcript (Reasoning/Message/Position fields per structured prompt template) combined with a numeric integer position/decision,"no — the paper does not measure tokens, bits, or communication cost per round","no — no jamming, link degradation, or network partition is modeled; communication is assumed reliable and the only 'adversary' is the malicious insider's content, not the channel","no — the paper reports consensus rate and average episode round with variance (±std) across 50 samples, but does not evaluate repeatability/consistency of a single agent's output across seeds or measure LLM output determinism","1-D discrete consensus environment (integer positions 0-20) with 3 benign GPT-4o agents (personality types: stubborn, suggestible, neutral) and 1 malicious agent, run for up to T=10 rounds, 50 samples per configuration across 10 personality compositions; compares No Attacker, LLM-based (prompt) attacker, RL-based (world-model+DQN) attacker, and Guessed RL attacker on consensus rate (CR) and average episode round (AER); also reports world-model next-position prediction accuracy/MAE and classifier accuracy for inferring personality type","A world-model-based RL insider attacker (learning a latent surrogate transition model of benign-agent behavior, then training a DQN attack policy on it) more effectively reduces benign consensus rate and prolongs disagreement than a direct malicious-prompt LLM baseline, and an attacker that infers behavioral attributes from one observed round performs nearly as well as one given true attributes.","This paper is entirely about a single insider degrading consensus among cooperative LLM agents in an abstract 1-D text environment with no vehicle dynamics, no physical actuation, no communication-channel adversary (jamming/partition), and no receiver-side Byzantine-filtering, quorum, or deterministic safety-gate mechanism to detect or neutralize the attacker — it studies attack optimization, not defense, aggregation robustness, graph-topology tolerance bounds, bandwidth cost, or output determinism, and offers no mechanism to identify or exclude the malicious agent or gate its output before it affects the shared state.",0,0,2,0,0,0,1,0,0
2605.09076v3,Byzantine-resilient LLM-MAS,Self-Anchored Consensus (SAC),Robust Multi-Agent LLMs under Byzantine Faults,2026-05-09,[4] cited,"N LLM agents (n=7 or n=9 in experiments) debating over a peer-to-peer graph, no embodiment; each agent is a standalone LLM instance answering a shared query","text-only benchmark (Hendrycks MATH, MATH-500, Commonsense170k, ARC-C/HellaSwag/BoolQ/OBQA/RTE, AIME 2025, HMMT-25)","faulty Byzantine (protocol-following but hallucinating/noisy, e.g. weak models) and adversarial Byzantine (arbitrary deviation, falsified self-confidence, inconsistent messages to different neighbors); identities unknown to reliable agents",F-local Byzantine set with F=3 (n=7 or n=9); topology designed to be (F+1)-robust,"MSR-inspired filter-and-refine: receiver-side scoring of each neighbor response, discard bottom-F lowest-scoring below self-score, refine via re-prompting on retained set","(F+1)-robust graphs (LeBlanc et al. r-robustness); tested on γ-MERG, complete, Erdos-Rényi, and preferential-attachment topologies","none — no actuators; final output is the agent's textual response after T consensus rounds, not checked against a deterministic safety envelope","free-form natural-language transcript (responses plus receiver-computed scalar scores in [0,1] attached per message)",no — paper counts LLM calls per round (n(1+2T)) for inference cost but does not measure tokens/bits transmitted or network bandwidth,"no — communication links are assumed reliable/always-available; no jamming, packet loss, or partition is modeled",no — no repeated-seed or output-repeatability analysis is reported; results are single-run accuracy metrics per topology/model,"7-9 agent LLM-MAS (closed- and open-weight models: GPT-3.5/4o/4o-mini/5, Qwen2.5/Qwen3, GPT-5.6-sol) on math/commonsense/reasoning benchmarks, comparing SAC vs CP-WBFT across topologies, T=6 rounds, ablations on Byzantine count and network size","Receiver-side (not self-reported) confidence scoring combined with (F+1)-robust topology lets honest LLM agents filter Byzantine neighbors and achieve non-negative accuracy gain (BFTI), unlike CP-WBFT which collapses under falsified-confidence attacks","SAC has no embodiment, dynamics, or actuation layer at all — it never addresses one-LLM-per-vehicle deployment, control-loop timing, or gating LLM output through a deterministic safety envelope before actuation. It assumes a static, always-reliable communication graph with no jamming, link degradation, partition, or bandwidth accounting, and never evaluates output determinism/repeatability across seeds.",0,0,2,2,2,0,0,0,0
2606.15024v1,Byzantine-resilient LLM-MAS,Resilient Consensus in Agentic AI,Resilient Consensus in Agentic AI,2026-06-12,NEW — found by gap search,"N LLM agents (up to 15 honest + varying Byzantine) each holding a scalar proposal, debating over rounds with no embodiment; no centralized supervisor",text-only benchmark (LLM agents proposing integers 0-50 via prompts),arbitrary adversarial LLM agents prompted to strategically push values high/low and coordinate/collude to split honest agents; honest agents do not know which peers are Byzantine,"N >= 3B+1 for complete graphs (Theorem 1); for general graphs, N>=3B+1 and combinatorial condition in Theorem 2 (verified via partition enumeration, holds up to B=4 on tested graph)",MSR-type trimmed mean: global MSR filter removes B smallest/largest of all values (complete graph); local MSR filter removes f largest/smallest of in-neighbor values before averaging (general graph),"complete graph (all-to-all) and one specific general directed graph tested for robustness per Theorem 2; not a family of r-robust graphs, single fixed topology","none — no actuators; filtered/unfiltered scalar proposal is the final output, no deterministic safety envelope or schema check","free-form NL prompts producing JSON-only scalar integer output ({""value"": <int>}), not typed packets or latent vectors",no — no token/bit/communication-cost metric reported,"no — communication medium assumed fail-safe with negligible delay; no jamming, degradation, or partition modeled","partially — ablation across temperature (0.3/0.5/0.7) and horizon (Tmax) shown as robustness checks, but no explicit seed-repeatability/output-consistency metric across repeated identical runs","meta-Llama-3.2-3B-Instruct agents, 30 trials for main complete-graph/general-graph consensus probability plots, 10 trials for ablation tables (temperature, horizon, misspecified f); H=15 honest agents, integer consensus task, Tmax>=B+1 rounds","Prompted LLM agents fail to reach agreement even within the theoretically guaranteed regime (N>=3B+1), and classical MSR-type resilient consensus filters (global for complete graphs, local for general graphs) recover near-100% consensus, with filter benefit depending on how much robustness the topology already provides","The paper has no embodiment, dynamics, actuators, or physical vehicles — it is a pure text-based scalar-agreement game with no receiver-side control-loop actuation gating and no deterministic override/safety-envelope check on agent outputs. It models no communication-channel degradation, jamming, or partition (medium is assumed fail-safe/negligible-delay), and reports no bandwidth/token cost, so a real control loop under contested wireless links with per-vehicle LLMs and quorum-gated actuation is entirely outside its scope.",0,0,2,2,1,0,1,0,1
