id,layer,attack,mechanism,defence,analytic_residual,N,F,n_byz,kappa,trials,unsafe,max_influence_deg,p99_influence_deg,a3_rate,a3_rate_no_attack,brake_rate,n_influence_pairs,note
F1,network,"equivocation (two payloads, one seq)","Two payloads under one (src, seq)","Canonicalise: equal seq, differing payload -> source dropped",0 (source excluded),7,1,1,1.0,4000,0,0.0,0.0,0.9765,0.9765,0.00575,3906,
F2,network,replay of a stale record,Stale record re-injected,Canonicalise freshness window (round_k - seq) mod 64 <= 1,0 (record excluded),7,1,1,1.0,4000,0,0.0,0.0,0.9765,0.9765,0.00575,3906,
F3,semantic,self-certified severity and authority,"Claims max severity, link quality, authority",INV4: no received field is an authority multiplier; sev/linkq/req_auth never scale trust,<= tau_b (clique reselection only),7,1,1,1.0,4000,0,2.11,0.0,0.9765,0.9765,0.00575,3906,
F4,semantic,single extreme proposer,Single proposal 180 deg off consensus,"Quorum |c| >= 2F+1 distinct sources; no trim, no blend",0,7,1,1,1.0,4000,0,0.0,0.0,0.9765,0.9765,0.00575,3906,
F5,semantic,colluding pair on the tolerance edge,"F colluders on the consistency edge, mutually consistent",Prop. 4: honest strict majority inside c,= tau_b (tight),9,2,2,1.0,4000,0,11.25,6.33,0.90625,0.878,0.00625,3625,run at N=9 so an honest-only quorum of 2F+1=5 is reachable
F6,semantic,envelope-violating consensus proposal,All sources propose a command violating separation / ceiling,Pi_cvx clips convex part; Verify rejects non-convex violations; descent to A2/A1/A0/BRAKE,0 unsafe commands (INV1),7,1,1,1.0,4000,0,,,0.6215,0.79625,0.1415,2484,influence undefined (every source compromised); safety metric is unsafe=0 with brake_rate 14.2%
F7,semantic,intent flooding (quorum denial),Distinct intent classes to prevent any quorum,"Availability attack only; safety unaffected, gate descends",0 (liveness cost only),9,2,2,1.0,4000,0,0.0,0.0,0.878,0.878,0.006,3512,"run at N=9; quorum-denial classes are liveness attacks, measured on a3_rate"
F8,semantic,bearing fragmentation (quorum denial),Bearings spread to fragment the maximum clique,Availability attack only; sweep still exact,<= tau_b,9,2,2,1.0,4000,0,1.41,0.0,0.878,0.878,0.006,3512,"run at N=9; quorum-denial classes are liveness attacks, measured on a3_rate"
F9,semantic,link-quality inflation under weighting,Inflated link quality to gain fusion weight,Weights computed from locally observed geometry (INV4-W); linkq field unused,<= tau_b,11,2,2,2.0,4000,0,9.84,5.62,0.84525,0.805,0.00925,3381,run at N=11: kappa=2 raises the quorum to floor(F(1+kappa))+1 = 7
F10,network,withhold-then-burst with reordering,"Withhold, then burst multiple seq values, reordered",One record per source per round (fix from this stage) + order-invariant fusion,<= tau_b,7,1,1,1.0,4000,0,7.73,0.0,0.98175,0.9815,0.004,3927,
F11,network,source impersonation (no MAC),Impersonates an honest source id,Detected as equivocation; both records dropped. Needs message authentication to attribute,"<= tau_b, 3.6 pt availability loss",7,1,1,1.0,4000,0,10.55,7.03,0.94075,0.9765,0.00575,3763,
F12,semantic,faults exceed declared F (3 > F=1),Actual faults exceed declared F,None: Prop. 4 hypothesis violated. Requires N >= 2F+2 with F an upper bound on real faults,UNBOUNDED (Prop. 4 inapplicable),7,1,3,1.0,4000,0,22.5,19.69,0.98725,0.7255,0.005,3835,"quorum Byzantine-majority in 90.9% of A3 rounds; worst observed 22.50 deg = 2 tau_b, no bound claimed"
F13,network,graph robustness lost to jamming (Rule G1),"Jamming removes edges until G_r loses (F+1,F+1)-robustness",Rule G1: quorum authority withdrawn until robustness is re-verified,0 (A3 unavailable),7,1,1,1.0,4000,0,0.0,0.0,0.0,0.0,0.00925,0,
